iter	Logloss
0	0.6225917001
1	0.567006244
2	0.5150018352
3	0.4689902069
4	0.4403240712
5	0.41356303
6	0.3848075851
7	0.3645987652
8	0.3475592754
9	0.3311193682
10	0.3155244776
11	0.303077913
12	0.291974017
13	0.2819335323
14	0.2719997281
15	0.2635223248
16	0.2553894594
17	0.2487607959
18	0.2427571389
19	0.2343576237
20	0.2282977538
21	0.2218877357
22	0.2178864543
23	0.2131850043
24	0.2099743675
25	0.2077209106
26	0.2055407165
27	0.2035110827
28	0.2015167523
29	0.1984158984
30	0.1967905389
31	0.1952974967
32	0.192244014
33	0.1907469356
34	0.1896041218
35	0.1871701367
36	0.1863481391
37	0.1855857212
38	0.1840285326
39	0.1832764283
40	0.1825106419
41	0.1812796084
42	0.1806065874
43	0.1796965026
44	0.1786111412
45	0.1774862232
46	0.1768308169
47	0.1759805325
48	0.1753804697
49	0.1750107814
50	0.1743883637
51	0.1738370582
52	0.1733406122
53	0.1727464067
54	0.1723014314
55	0.1719109805
56	0.1715614693
57	0.1713394436
58	0.1708819604
59	0.1705733049
60	0.1700546796
61	0.1697615833
62	0.1693331601
63	0.1691155058
64	0.1689685181
65	0.1687049719
66	0.1684591419
67	0.1682105482
68	0.1679510748
69	0.1677230103
70	0.1674849727
71	0.1673204724
72	0.1671087268
73	0.1668373928
74	0.1666650089
75	0.1665270774
76	0.166378775
77	0.1661603038
78	0.165934133
79	0.1657741641
80	0.1655436212
81	0.1652476431
82	0.1650457723
83	0.1649364509
84	0.1647545109
85	0.1646560782
86	0.1643992819
87	0.1642057724
88	0.1640644683
89	0.1639344946
90	0.1637419781
91	0.1636701478
92	0.1635304749
93	0.1634500794
94	0.1632715795
95	0.163144338
96	0.1630424929
97	0.1629494809
98	0.1628620528
99	0.162735369
100	0.1626516555
101	0.162563271
102	0.1624026429
103	0.1622712117
104	0.1621294221
105	0.1620106184
106	0.1618895024
107	0.1618213307
108	0.1617155096
109	0.1616022502
110	0.1615112191
111	0.1614137897
112	0.1613589845
113	0.1612960565
114	0.1612124206
115	0.1611132067
116	0.1610249842
117	0.1609392064
118	0.1608525589
119	0.160770068
120	0.1607063883
121	0.1606167835
122	0.1604808216
123	0.1603744638
124	0.1602726963
125	0.1602139799
126	0.1601300258
127	0.1600436519
128	0.1599298496
129	0.1598043588
130	0.159711559
131	0.1596010817
132	0.1595043079
133	0.1594293469
134	0.159307069
135	0.1592352224
136	0.1591509941
137	0.159087066
138	0.1590196248
139	0.1589161733
140	0.1588210289
141	0.1587280631
142	0.1586311814
143	0.1585553783
144	0.1584897868
145	0.1584445746
146	0.1583849769
147	0.1582879871
148	0.1581738678
149	0.1580990591
150	0.1580237315
151	0.1579532541
152	0.1578775015
153	0.1577980089
154	0.1577592131
155	0.1577020575
156	0.1576378133
157	0.1575384121
158	0.157451088
159	0.1573891948
160	0.1573178906
161	0.1572671273
162	0.1572133342
163	0.1571299585
164	0.1570630658
165	0.1570216655
166	0.1569403441
167	0.1568800916
168	0.1568274463
169	0.1567802599
170	0.1567054988
171	0.1566652214
172	0.1565817503
173	0.1565414536
174	0.1564426515
175	0.1563813854
176	0.1563381039
177	0.156294057
178	0.156233207
179	0.1561374303
180	0.1560763788
181	0.1560379467
182	0.1559919947
183	0.1559372552
184	0.155866215
185	0.1558224782
186	0.155748475
187	0.1557072372
188	0.1556488767
189	0.1556051538
190	0.1555366907
191	0.1554794454
192	0.1554202586
193	0.1553288819
194	0.1552772787
195	0.1552327273
196	0.1551845004
197	0.1551083793
198	0.1550668755
199	0.1550209971
200	0.1549852278
201	0.1549465533
202	0.1548953618
203	0.1548414843
204	0.154799802
205	0.1547253309
206	0.1546676881
207	0.154606069
208	0.1545678916
209	0.1544923669
210	0.1544269431
211	0.1543566673
212	0.1542938568
213	0.1542394202
214	0.1541949634
215	0.1541311424
216	0.1540853519
217	0.1540400403
218	0.1539754035
219	0.1539267078
220	0.1538780938
221	0.1538390554
222	0.1538004287
223	0.1537634725
224	0.1537060208
225	0.1536615261
226	0.1536293138
227	0.1535627918
228	0.15353075
229	0.1534892729
230	0.1534417285
231	0.1534168324
232	0.1533647832
233	0.1532946075
234	0.1532561046
235	0.1532093215
236	0.1531731333
237	0.1531224636
238	0.1530811315
239	0.1530224342
240	0.1529625991
241	0.1529172734
242	0.1528883034
243	0.1528359665
244	0.1527983319
245	0.1527744807
246	0.1527423036
247	0.1526990289
248	0.1526501778
249	0.1526202597
250	0.1525800553
251	0.1525349122
252	0.1524937533
253	0.1524718493
254	0.1524326063
255	0.1523941066
256	0.1523324964
257	0.1523058658
258	0.1522540936
259	0.1522110682
260	0.1521674177
261	0.1521199132
262	0.1520908063
263	0.1520485543
264	0.1520075945
265	0.1519577655
266	0.1519091669
267	0.1518784292
268	0.1518339687
269	0.1517953183
270	0.1517617824
271	0.1517219843
272	0.1516723919
273	0.1516429999
274	0.1515562924
275	0.151536795
276	0.151504768
277	0.1514573848
278	0.1514231449
279	0.1514003195
280	0.1513703419
281	0.1513371384
282	0.1513127076
283	0.1512677729
284	0.151235065
285	0.1512079288
286	0.1511814936
287	0.151153068
288	0.1511211654
289	0.151082021
290	0.1510486201
291	0.1510100222
292	0.1509853435
293	0.1509502358
294	0.1509258218
295	0.1508849737
296	0.1508609472
297	0.1508337717
298	0.150799285
299	0.1507655869
300	0.1507273959
301	0.1506959453
302	0.1506679939
303	0.1506332143
304	0.1506103212
305	0.1505765181
306	0.1505453841
307	0.1505007844
308	0.1504813049
309	0.1504495372
310	0.1504159767
311	0.150378917
312	0.1503300024
313	0.1502936781
314	0.1502635022
315	0.1502384445
316	0.1502051917
317	0.1501778193
318	0.1501392768
319	0.1501096354
320	0.1500648441
321	0.1500341553
322	0.1500016411
323	0.1499553798
324	0.1499262045
325	0.1499057537
326	0.1498579957
327	0.1497986661
328	0.149760998
329	0.1497334487
330	0.1497037763
331	0.1496743863
332	0.1496557672
333	0.1496296013
334	0.1495961148
335	0.14954999
336	0.1495222002
337	0.1494802817
338	0.1494304027
339	0.1494088725
340	0.1493798852
341	0.1493527039
342	0.1493283571
343	0.1492905609
344	0.1492618577
345	0.1492392265
346	0.1492032657
347	0.1491660711
348	0.1491315472
349	0.149105796
350	0.1490816686
351	0.1490413387
352	0.1490240279
353	0.148996057
354	0.1489632896
355	0.1489307791
356	0.1489010027
357	0.1488731059
358	0.1488524735
359	0.1488269653
360	0.1488003873
361	0.1487771787
362	0.1487494241
363	0.1487201717
364	0.1486975684
365	0.1486527292
366	0.1486201204
367	0.1485963007
368	0.1485741831
369	0.1485427719
370	0.1485137751
371	0.1484913346
372	0.1484540103
373	0.1484331164
374	0.1484105872
375	0.1483875712
376	0.148364507
377	0.1483407198
378	0.1483184961
379	0.1482965853
380	0.1482750851
381	0.1482428506
382	0.1482095321
383	0.1481890629
384	0.1481666009
385	0.1481458492
386	0.1481123342
387	0.1480705553
388	0.1480477022
389	0.1480157054
390	0.1479826237
391	0.147952001
392	0.1479210497
393	0.1479010767
394	0.1478663443
395	0.1478389657
396	0.1478220891
397	0.1477922912
398	0.1477620077
399	0.147740489
400	0.1477180727
401	0.1476927089
402	0.1476655198
403	0.1476435045
404	0.1476093029
405	0.1475832829
406	0.147558514
407	0.1475254574
408	0.1475070205
409	0.1474843984
410	0.1474634341
411	0.147430565
412	0.1474102276
413	0.1473835171
414	0.1473700173
415	0.147346049
416	0.1473311716
417	0.1472967175
418	0.1472775614
419	0.1472484449
420	0.1472273783
421	0.1472128563
422	0.1471840691
423	0.147154697
424	0.1471324591
425	0.1471002854
426	0.1470787516
427	0.1470583354
428	0.147033188
429	0.1470137305
430	0.1470004985
431	0.1469789111
432	0.1469610454
433	0.1469390642
434	0.146917596
435	0.1468917676
436	0.1468686372
437	0.1468487351
438	0.1468150265
439	0.1467931382
440	0.1467759766
441	0.1467507367
442	0.1467307663
443	0.1467105602
444	0.1466922057
445	0.1466649194
446	0.146648036
447	0.1466246252
448	0.1466011804
449	0.1465752376
450	0.1465521681
451	0.1465379453
452	0.1465136479
453	0.1464895777
454	0.1464648109
455	0.1464390419
456	0.1464238369
457	0.1464053165
458	0.1463809345
459	0.1463601798
460	0.1463437578
461	0.1463198221
462	0.1462878869
463	0.146270677
464	0.1462503102
465	0.146233201
466	0.1462063457
467	0.1461889793
468	0.1461704715
469	0.1461490001
470	0.1461326034
471	0.1461029404
472	0.1460770706
473	0.1460571511
474	0.146040054
475	0.146027906
476	0.1460073455
477	0.1459801438
478	0.1459378373
479	0.1459206377
480	0.1459041989
481	0.1458804737
482	0.1458511084
483	0.1458379068
484	0.1458107397
485	0.1457858301
486	0.1457722405
487	0.1457526859
488	0.1457347503
489	0.1457165534
490	0.1456943181
491	0.1456717752
492	0.1456440374
493	0.1456269513
494	0.1456017383
495	0.1455868451
496	0.1455709056
497	0.145546007
498	0.1455244086
499	0.1455077687
500	0.1454697031
501	0.1454547459
502	0.1454266333
503	0.1454087487
504	0.1453829266
505	0.145357913
506	0.1453426823
507	0.1453104787
508	0.145290486
509	0.145270399
510	0.1452493571
511	0.1452320027
512	0.1452183722
513	0.1451885806
514	0.1451622273
515	0.1451425472
516	0.1451189265
517	0.1450886713
518	0.1450684667
519	0.1450468116
520	0.1450193851
521	0.1450026718
522	0.144984563
523	0.1449598214
524	0.1449411709
525	0.1449285231
526	0.1449050987
527	0.1448872792
528	0.1448731956
529	0.1448534961
530	0.1448296947
531	0.1447861356
532	0.1447663552
533	0.1447475046
534	0.1447150177
535	0.1446979983
536	0.1446849925
537	0.1446621556
538	0.1446406711
539	0.1446252629
540	0.1446121673
541	0.1446008242
542	0.1445781306
543	0.1445574341
544	0.1445427342
545	0.1445026647
546	0.1444874938
547	0.1444698297
548	0.1444592867
549	0.1444372987
550	0.1444196587
551	0.1444022403
552	0.1443864725
553	0.1443659729
554	0.1443424225
555	0.1443327625
556	0.1443104842
557	0.1443001984
558	0.1442833224
559	0.1442533588
560	0.1442350647
561	0.1442059194
562	0.1441845136
563	0.1441596439
564	0.1441453036
565	0.1441241779
566	0.1441034822
567	0.1440812233
568	0.1440639566
569	0.1440512658
570	0.1440321606
571	0.1440128071
572	0.1439726924
573	0.143954989
574	0.1439329028
575	0.1439082373
576	0.1438915959
577	0.1438718056
578	0.1438521381
579	0.1438288785
580	0.1437937703
581	0.143776522
582	0.1437605563
583	0.1437497082
584	0.1437229674
585	0.1437034506
586	0.1436828633
587	0.1436652611
588	0.1436526785
589	0.143628539
590	0.1436031706
591	0.1435854592
592	0.1435665225
593	0.1435519864
594	0.1435346614
595	0.1435170125
596	0.1435031395
597	0.1434778345
598	0.1434528404
599	0.1434312377
600	0.1434119918
601	0.1433910171
602	0.1433667842
603	0.1433466657
604	0.1433306081
605	0.1433113375
606	0.1432936214
607	0.1432779822
608	0.1432555023
609	0.1432453152
610	0.1432293153
611	0.1432093543
612	0.1431954839
613	0.1431786808
614	0.1431648749
615	0.1431501161
616	0.1431333529
617	0.1431197849
618	0.1430998328
619	0.1430903587
620	0.1430747904
621	0.1430515786
622	0.1430314643
623	0.1430173166
624	0.1429948398
625	0.1429702463
626	0.1429473721
627	0.1429347055
628	0.1429191991
629	0.1429072113
630	0.1428837024
631	0.1428617916
632	0.1428529322
633	0.1428385672
634	0.1428205902
635	0.1428029434
636	0.1427821514
637	0.1427625138
638	0.1427468956
639	0.1427263939
640	0.142714583
641	0.14270048
642	0.1426829849
643	0.1426651995
644	0.1426512361
645	0.1426334512
646	0.1426110853
647	0.1425937676
648	0.1425740828
649	0.1425593918
650	0.1425463939
651	0.1425306397
652	0.1425205162
653	0.1425042575
654	0.1424913672
655	0.1424774065
656	0.1424507192
657	0.1424360523
658	0.1424254305
659	0.1424055425
660	0.1423891615
661	0.1423701697
662	0.1423483345
663	0.1423382025
664	0.142317632
665	0.1422939058
666	0.1422750352
667	0.1422622835
668	0.1422467945
669	0.1422313947
670	0.1422188394
671	0.1422115125
672	0.1421948538
673	0.1421677738
674	0.1421534618
675	0.1421367144
676	0.1421207497
677	0.1421048286
678	0.1420926339
679	0.1420780815
680	0.1420573214
681	0.1420417657
682	0.1420235252
683	0.1420099156
684	0.1419942003
685	0.1419791859
686	0.1419639447
687	0.141953398
688	0.141930666
689	0.1419106699
690	0.1418955583
691	0.1418708503
692	0.1418551591
693	0.1418381292
694	0.1418266192
695	0.1418123854
696	0.1417981359
697	0.1417804335
698	0.1417693466
699	0.1417549459
700	0.1417442516
701	0.141734189
702	0.1417184857
703	0.1417046242
704	0.1416870777
705	0.1416710637
706	0.1416544154
707	0.1416406153
708	0.1416240852
709	0.1416119383
710	0.1415938243
711	0.1415779751
712	0.1415646895
713	0.1415443316
714	0.1415305058
715	0.1415194446
716	0.1415080863
717	0.1414937124
718	0.1414808735
719	0.1414642605
720	0.141446641
721	0.1414322865
722	0.1414210231
723	0.1414082788
724	0.1413936943
725	0.1413809484
726	0.1413649549
727	0.1413500444
728	0.1413417137
729	0.1413233472
730	0.1413148432
731	0.1412982391
732	0.1412784162
733	0.1412600796
734	0.141252875
735	0.14123809
736	0.1412138571
737	0.1412045688
738	0.1411949104
739	0.1411781184
740	0.1411601587
741	0.1411422195
742	0.1411269258
743	0.1411152575
744	0.1410986302
745	0.1410831906
746	0.1410682612
747	0.1410579528
748	0.1410466848
749	0.1410347227
750	0.141021415
751	0.141007344
752	0.1409921626
753	0.1409705521
754	0.1409496052
755	0.1409350816
756	0.1409240131
757	0.1409062744
758	0.1408932235
759	0.1408785954
760	0.1408695182
761	0.140854068
762	0.1408418429
763	0.1408226904
764	0.1408100589
765	0.1407955412
766	0.1407826435
767	0.1407680512
768	0.1407533029
769	0.1407357717
770	0.1407197681
771	0.140709979
772	0.1407001384
773	0.1406894621
774	0.1406739001
775	0.1406632032
776	0.1406497995
777	0.1406339587
778	0.1406166867
779	0.1405989239
780	0.1405870347
781	0.1405685432
782	0.1405561228
783	0.1405413221
784	0.1405281
785	0.1405162896
786	0.140507046
787	0.1404942475
788	0.1404824004
789	0.1404751428
790	0.1404611663
791	0.1404440818
792	0.1404338386
793	0.1404170155
794	0.1404070547
795	0.1403969627
796	0.1403829604
797	0.1403713238
798	0.1403528281
799	0.1403323065
800	0.1403196855
801	0.1403054297
802	0.1402909938
803	0.1402800628
804	0.1402636319
805	0.1402484632
806	0.1402354894
807	0.1402244082
808	0.1402091014
809	0.1401909317
810	0.1401771762
811	0.1401587713
812	0.1401477401
813	0.1401320294
814	0.14011668
815	0.1401046875
816	0.1400911415
817	0.140078719
818	0.1400658859
819	0.1400508841
820	0.1400416184
821	0.1400265614
822	0.1400149038
823	0.140006508
824	0.1399985674
825	0.1399793934
826	0.1399614999
827	0.1399419253
828	0.1399301921
829	0.1399161421
830	0.1399034482
831	0.1398894375
832	0.1398775348
833	0.1398641704
834	0.1398490635
835	0.1398354167
836	0.1398131258
837	0.1397977607
838	0.1397873431
839	0.1397721796
840	0.1397577085
841	0.1397423093
842	0.1397289827
843	0.1397134197
844	0.1397010003
845	0.1396847631
846	0.1396702984
847	0.1396552918
848	0.13963671
849	0.1396240203
850	0.1396150958
851	0.1395944135
852	0.1395767541
853	0.1395642922
854	0.1395466916
855	0.1395383699
856	0.1395274436
857	0.1395105544
858	0.1394977712
859	0.1394906753
860	0.1394811907
861	0.1394667175
862	0.1394552001
863	0.1394424841
864	0.1394348595
865	0.1394144544
866	0.1394019369
867	0.1393911586
868	0.1393787598
869	0.1393590009
870	0.1393357167
871	0.1393263759
872	0.1393146842
873	0.1393007087
874	0.1392854553
875	0.1392690917
876	0.1392519505
877	0.1392358587
878	0.139223495
879	0.1392099443
880	0.1391882356
881	0.1391760021
882	0.1391592147
883	0.1391423197
884	0.1391237179
885	0.1391147195
886	0.1391052889
887	0.1390917161
888	0.139083585
889	0.139075301
890	0.1390563302
891	0.1390457819
892	0.1390283871
893	0.1390162707
894	0.1390035762
895	0.1389915212
896	0.13897877
897	0.1389696319
898	0.138947352
899	0.1389347961
900	0.1389231926
901	0.1389037293
902	0.1388892646
903	0.1388786606
904	0.1388651346
905	0.1388472836
906	0.1388359704
