iter	Passed	Remaining
0	102	102556
1	195	97651
2	289	96215
3	384	95855
4	464	92460
5	548	90887
6	643	91221
7	723	89762
8	810	89248
9	901	89255
10	989	88924
11	1072	88282
12	1161	88146
13	1245	87746
14	1340	88010
15	1426	87749
16	1517	87733
17	1606	87655
18	1700	87792
19	1786	87529
20	1882	87772
21	1978	87954
22	2071	87978
23	2159	87827
24	2249	87718
25	2328	87211
26	2412	86946
27	2491	86476
28	2581	86425
29	2673	86432
30	2760	86272
31	2849	86210
32	2945	86302
33	3034	86225
34	3115	85910
35	3205	85844
36	3287	85554
37	3377	85512
38	3467	85447
39	3555	85321
40	3648	85329
41	3731	85112
42	3820	85023
43	3912	84997
44	4013	85182
45	4107	85194
46	4200	85178
47	4294	85182
48	4379	85001
49	4460	84746
50	4545	84573
51	4625	84318
52	4710	84170
53	4795	84015
54	4886	83963
55	4968	83753
56	5061	83730
57	5150	83650
58	5235	83509
59	5319	83343
60	5414	83343
61	5499	83203
62	5583	83050
63	5663	82825
64	5740	82580
65	5821	82377
66	5898	82142
67	5980	81973
68	6074	81958
69	6165	81916
70	6247	81741
71	6331	81600
72	6416	81477
73	6507	81427
74	6596	81356
75	6679	81210
76	6762	81065
77	6849	80969
78	6935	80856
79	7024	80784
80	7100	80558
81	7190	80494
82	7274	80369
83	7355	80214
84	7441	80110
85	7530	80031
86	7622	79993
87	7707	79872
88	7795	79793
89	7877	79647
90	7958	79493
91	8031	79268
92	8110	79098
93	8191	78953
94	8284	78923
95	8376	78882
96	8476	78908
97	8569	78874
98	8647	78702
99	8725	78533
100	8804	78373
101	8886	78234
102	8971	78132
103	9054	78006
104	9136	77881
105	9218	77749
106	9311	77713
107	9404	77675
108	9487	77552
109	9570	77431
110	9653	77313
111	9745	77264
112	9810	77008
113	9890	76865
114	9974	76761
115	10059	76663
116	10137	76504
117	10225	76434
118	10304	76286
119	10392	76213
120	10475	76097
121	10556	75971
122	10645	75906
123	10729	75798
124	10815	75709
125	10896	75586
