date,name,is_school_holiday
2018-10-01,Høstferie week 40 (2018),1
2018-10-02,Høstferie week 40 (2018),1
2018-10-03,Høstferie week 40 (2018),1
2018-10-04,Høstferie week 40 (2018),1
2018-10-05,Høstferie week 40 (2018),1
2018-10-06,Høstferie week 40 (2018),1
2018-10-07,Høstferie week 40 (2018),1
2019-09-30,Høstferie week 40 (2019),1
2019-10-01,Høstferie week 40 (2019),1
2019-10-02,Høstferie week 40 (2019),1
2019-10-03,Høstferie week 40 (2019),1
2019-10-04,Høstferie week 40 (2019),1
2019-10-05,Høstferie week 40 (2019),1
2019-10-06,Høstferie week 40 (2019),1
2020-09-28,Høstferie week 40 (2020),1
2020-09-29,Høstferie week 40 (2020),1
2020-09-30,Høstferie week 40 (2020),1
2020-10-01,Høstferie week 40 (2020),1
2020-10-02,Høstferie week 40 (2020),1
2020-10-03,Høstferie week 40 (2020),1
2020-10-04,Høstferie week 40 (2020),1
2021-10-04,Høstferie week 40 (2021),1
2021-10-05,Høstferie week 40 (2021),1
2021-10-06,Høstferie week 40 (2021),1
2021-10-07,Høstferie week 40 (2021),1
2021-10-08,Høstferie week 40 (2021),1
2021-10-09,Høstferie week 40 (2021),1
2021-10-10,Høstferie week 40 (2021),1
2022-10-03,Høstferie week 40 (2022),1
2022-10-04,Høstferie week 40 (2022),1
2022-10-05,Høstferie week 40 (2022),1
2022-10-06,Høstferie week 40 (2022),1
2022-10-07,Høstferie week 40 (2022),1
2022-10-08,Høstferie week 40 (2022),1
2022-10-09,Høstferie week 40 (2022),1
2023-10-02,Høstferie week 40 (2023),1
2023-10-03,Høstferie week 40 (2023),1
2023-10-04,Høstferie week 40 (2023),1
2023-10-05,Høstferie week 40 (2023),1
2023-10-06,Høstferie week 40 (2023),1
2023-10-07,Høstferie week 40 (2023),1
2023-10-08,Høstferie week 40 (2023),1
2024-09-30,Høstferie week 40 (2024),1
2024-10-01,Høstferie week 40 (2024),1
2024-10-02,Høstferie week 40 (2024),1
2024-10-03,Høstferie week 40 (2024),1
2024-10-04,Høstferie week 40 (2024),1
2024-10-05,Høstferie week 40 (2024),1
2024-10-06,Høstferie week 40 (2024),1
2025-09-29,Høstferie week 40 (2025),1
2025-09-30,Høstferie week 40 (2025),1
2025-10-01,Høstferie week 40 (2025),1
2025-10-02,Høstferie week 40 (2025),1
2025-10-03,Høstferie week 40 (2025),1
2025-10-04,Høstferie week 40 (2025),1
2025-10-05,Høstferie week 40 (2025),1
